名称,住所,緯度,経度
柿の浜海水浴場,柳郷2014番地1,33°12’47.59,129°03’12.26
小値賀町歴史民俗資料館,笛吹郷1931番地,33°11’20.92,129°03’30.88
旧野首教会,野崎郷692番地2,33°11’14.13,129°07’46.37
野崎島自然学塾村,野崎郷663番地1,33°11’12.57,129°07’49.12
野崎島神官屋敷,野崎郷182番地2,33°11’22.51,129°08’26.41
商家尼忠東店,笛吹郷1668番地,33°18’89.03,129°05’96.87
牛の塔,中村郷,33°11’39.55,129°03’54.56
姫の松原,柳郷,33°12’13.96,129°03’31.93
赤浜海岸,前方郷,33°11’39.55,129°03’54.56
アワビ館,笛吹郷2791番地3,33°11’10.30,129°03’37.90
地の神島神社,前方郷,33°20’06.60,129°08’17.71
五両だき,柳郷,33°12’50.18,129°02’54.52
浜崎鼻ゴルフ場,浜津郷,33°12’25.08,129°02’13.35
野首海岸,野崎郷,33°11’12.95,129°07’57.63
ポットホール,班島郷114-29,33°12’41.26,129°01’34.04
サンセットポイント,班島郷,33°20’31.42,129°01’46.02
王位石・沖の神島神社,野崎郷,33°20’95.02,129°12’10.08
旧舟森集落,野崎郷,33°16’33.10,129°12’92.49
